Номер победы;Номенклатура;Некомплектная_отгрузка
02332;Шайба 20 Гл ГОСТ 6402-70;1
02332;Шайба 24 Гл ГОСТ 11371-78;1
02332;Шпилька по чертежу Ш-1 М24х350.40Х.Гл ДК10-Ш-1.02;1
02333;Болт М24-6gх80.8.8.Гл ГОСТ 7798-70;1
02333;Гайка М24-6h.8.Гл ГОСТ 5915-70;1
02333;Шайба 24 Гл ГОСТ 11371-78;1
02334;Болт М20-6gх65.8.8.Гл ГОСТ 7798-70;1
02334;Болт М30-6gх110.8.8.Гл ГОСТ 7798-70;1
02334;Гайка М20-6h.8.Гл ГОСТ 5915-70;1
02334;Гайка М30-6h.8.Гл ГОСТ 5915-70;1
02334;Шайба 20 Гл ГОСТ 11371-78;1
02334;Шайба 20 Гл ГОСТ 6402-70;1
02334;Шайба 30 Гл ГОСТ 11371-78;1
02336;Болт М20-6gх65.8.8.Гл ГОСТ 7798-70;1
02336;Болт М30-6gх110.8.8.Гл ГОСТ 7798-70;1
02336;Гайка М20-6h.8.Гл ГОСТ 5915-70;1
02336;Гайка М30-6h.8.Гл ГОСТ 5915-70;1
02336;Шайба 20 Гл ГОСТ 11371-78;1
02336;Шайба 20 Гл ГОСТ 6402-70;1
02336;Шайба 30 Гл ГОСТ 11371-78;1
02338;Болт М20-6gх65.8.8.Гл ГОСТ 7798-70;1
02338;Гайка М20-6h.8.Гл ГОСТ 5915-70;1
02338;Гайка М24-6h.8.Гл ГОСТ 5915-70;1
02338;Хомут по чертежу Х-1 20.09Г2С-15.Гл Чертёж: ДК10-Х-1.01;1
02338;Шайба 20 Гл ГОСТ 11371-78;1
02338;Шайба 20 Гл ГОСТ 6402-70;1
02338;Шайба 24 Гл ГОСТ 11371-78;1
02338;Шпилька по чертежу Ш-1 М24х350.40Х.Гл ДК10-Ш-1.02;1
02339;Болт М24-6gх80.8.8.Гл ГОСТ 7798-70;1
02339;Гайка М24-6h.8.Гл ГОСТ 5915-70;1
02339;Шайба 24 Гл ГОСТ 11371-78;1
02340;Болт М20-6gх65.8.8.Гл ГОСТ 7798-70;1
02340;Болт М20-6gх90.8.8.Гл ГОСТ 7798-70;1
02340;Болт М30-6gх110.8.8.Гл ГОСТ 7798-70;1
02340;Гайка М20-6h.8.Гл ГОСТ 5915-70;1
02340;Гайка М30-6h.8.Гл ГОСТ 5915-70;1
02340;Шайба 20 Гл ГОСТ 11371-78;1
02340;Шайба 20 Гл ГОСТ 6402-70;1
02340;Шайба 30 Гл ГОСТ 11371-78;1
02341;Шайба 20 Гл ГОСТ 11371-78;1
02342;Болт М16-6gх55.8.8.Гл ГОСТ 7798-70;1
02342;Болт М20-6gх240.8.8.Гл ГОСТ 7798-70;1
02342;Болт М20-6gх65.8.8.Гл ГОСТ 7798-70;1
02342;Гайка М16-6h.8.Гл ГОСТ 5915-70;1
02342;Гайка М20-6h.8.Гл ГОСТ 5915-70;1
02342;Шайба 16 Гл ГОСТ 11371-78;1
02342;Шайба 16 Гл ГОСТ 6402-70;1
02342;Шайба 20 Гл ГОСТ 11371-78;1
02342;Шайба 20 Гл ГОСТ 6402-70;1
