Дата запуска;Заказ-Партия;Заказчик;Спецификация;Номенклатура;Дефицит;Остаток дефицита;Списание из Цент склада;Списание из ТН;Списание из Поступлений;ТН
2020-05-10;02563-1;ТЮМЕНЬЭНЕРГО ИНЖИНИРИНГ АО;ДП № 03/96-19 от 27.12.2019, Доп.соглашение № 1 от 15.03.2020 г.;Пробойник_СП-31;1.332;1.332;0.0;0.0;0.0;0.0
2020-05-10;02563-1;ТЮМЕНЬЭНЕРГО ИНЖИНИРИНГ АО;ДП № 03/96-19 от 27.12.2019, Доп.соглашение № 1 от 15.03.2020 г.;Болт М30-6gх95.8.8.Гл ГОСТ 7798-70;14.29042225;0.0;14.29042225;0.0;0.0;0.0
2020-05-10;02563-1;ТЮМЕНЬЭНЕРГО ИНЖИНИРИНГ АО;ДП № 03/96-19 от 27.12.2019, Доп.соглашение № 1 от 15.03.2020 г.;Пробойник_СП-25;0.828;0.0;0.828;0.0;0.0;0.0
2020-05-10;02563-1;ТЮМЕНЬЭНЕРГО ИНЖИНИРИНГ АО;ДП № 03/96-19 от 27.12.2019, Доп.соглашение № 1 от 15.03.2020 г.;Болт М24-6gх75.8.8.Гл ГОСТ 7798-70;212.13800206;0.0;212.13800206;0.0;0.0;0.0
2020-05-10;02563-1;ТЮМЕНЬЭНЕРГО ИНЖИНИРИНГ АО;ДП № 03/96-19 от 27.12.2019, Доп.соглашение № 1 от 15.03.2020 г.;Пробойник_СП-17;0.37;0.37;0.0;0.0;0.0;0.0
2020-05-10;02563-1;ТЮМЕНЬЭНЕРГО ИНЖИНИРИНГ АО;ДП № 03/96-19 от 27.12.2019, Доп.соглашение № 1 от 15.03.2020 г.;Болт М16-6gх60.8.8.Гл ГОСТ 7798-70;1.32040816;0.0;1.32040816;0.0;0.0;0.0
2020-05-10;02563-1;ТЮМЕНЬЭНЕРГО ИНЖИНИРИНГ АО;ДП № 03/96-19 от 27.12.2019, Доп.соглашение № 1 от 15.03.2020 г.;Шайба 30 Гл ГОСТ 6402-70;6.11328527;0.0;6.11328527;0.0;0.0;0.0
2020-05-10;02563-1;ТЮМЕНЬЭНЕРГО ИНЖИНИРИНГ АО;ДП № 03/96-19 от 27.12.2019, Доп.соглашение № 1 от 15.03.2020 г.;Шайба 30 Гл ГОСТ 11371-78;8.39340886;0.0;8.39340886;0.0;0.0;0.0
2020-05-10;02563-1;ТЮМЕНЬЭНЕРГО ИНЖИНИРИНГ АО;ДП № 03/96-19 от 27.12.2019, Доп.соглашение № 1 от 15.03.2020 г.;Шайба 24 Гл ГОСТ 6402-70;33.07518023;0.0;33.07518023;0.0;0.0;0.0
2020-05-10;02563-1;ТЮМЕНЬЭНЕРГО ИНЖИНИРИНГ АО;ДП № 03/96-19 от 27.12.2019, Доп.соглашение № 1 от 15.03.2020 г.;Шайба 24 Гл ГОСТ 11371-78;47.13285273;0.0;47.13285273;0.0;0.0;0.0
2020-05-10;02563-1;ТЮМЕНЬЭНЕРГО ИНЖИНИРИНГ АО;ДП № 03/96-19 от 27.12.2019, Доп.соглашение № 1 от 15.03.2020 г.;Шайба 20 Гл ГОСТ 6402-70;4.18331617;0.0;4.18331617;0.0;0.0;0.0
2020-05-10;02563-1;ТЮМЕНЬЭНЕРГО ИНЖИНИРИНГ АО;ДП № 03/96-19 от 27.12.2019, Доп.соглашение № 1 от 15.03.2020 г.;Шайба 16 Гл ГОСТ 6402-70;1.11637487;0.0;1.11637487;0.0;0.0;0.0
2020-05-10;02563-1;ТЮМЕНЬЭНЕРГО ИНЖИНИРИНГ АО;ДП № 03/96-19 от 27.12.2019, Доп.соглашение № 1 от 15.03.2020 г.;Шайба 16 Гл ГОСТ 11371-78;2.07209063;0.0;2.07209063;0.0;0.0;0.0
2020-05-10;02563-1;ТЮМЕНЬЭНЕРГО ИНЖИНИРИНГ АО;ДП № 03/96-19 от 27.12.2019, Доп.соглашение № 1 от 15.03.2020 г.;Гайка М30-6h.8.Гл ГОСТ 5915-70;37.96910402;0.0;37.96910402;0.0;0.0;0.0
2020-05-10;02563-1;ТЮМЕНЬЭНЕРГО ИНЖИНИРИНГ АО;ДП № 03/96-19 от 27.12.2019, Доп.соглашение № 1 от 15.03.2020 г.;Гайка М24-6h.8.Гл ГОСТ 5915-70;179.18022657;0.0;0.0;0.0;179.18022657;0.0
2020-05-10;02563-1;ТЮМЕНЬЭНЕРГО ИНЖИНИРИНГ АО;ДП № 03/96-19 от 27.12.2019, Доп.соглашение № 1 от 15.03.2020 г.;Гайка М20-6h.8.Гл ГОСТ 5915-70;47.08753862;0.0;47.08753862;0.0;0.0;0.0
2020-05-10;02560-1;ТЮМЕНЬЭНЕРГО ИНЖИНИРИНГ АО;ДП № 03/96-19 от 27.12.2019, Доп.соглашение № 1 от 15.03.2020 г.;Пробойник_СП-25;0.414;0.0;0.414;0.0;0.0;0.0
2020-05-10;02560-1;ТЮМЕНЬЭНЕРГО ИНЖИНИРИНГ АО;ДП № 03/96-19 от 27.12.2019, Доп.соглашение № 1 от 15.03.2020 г.;Болт М30-6gх95.8.8.Гл ГОСТ 7798-70;7.14521112;0.0;7.14521112;0.0;0.0;0.0
2020-05-10;02560-1;ТЮМЕНЬЭНЕРГО ИНЖИНИРИНГ АО;ДП № 03/96-19 от 27.12.2019, Доп.соглашение № 1 от 15.03.2020 г.;Пробойник_СП-31;0.666;0.666;0.0;0.0;0.0;0.0
2020-05-10;02560-1;ТЮМЕНЬЭНЕРГО ИНЖИНИРИНГ АО;ДП № 03/96-19 от 27.12.2019, Доп.соглашение № 1 от 15.03.2020 г.;Табличка 63х80 12Х18Н10Т;0.02;0.02;0.0;0.0;0.0;0.0
2020-05-10;02563-1;ТЮМЕНЬЭНЕРГО ИНЖИНИРИНГ АО;ДП № 03/96-19 от 27.12.2019, Доп.соглашение № 1 от 15.03.2020 г.;Болт М16-6gх50.8.8.Гл ГОСТ 7798-70;12.05714286;0.0;12.05714286;0.0;0.0;0.0
2020-05-10;02563-1;ТЮМЕНЬЭНЕРГО ИНЖИНИРИНГ АО;ДП № 03/96-19 от 27.12.2019, Доп.соглашение № 1 от 15.03.2020 г.;Болт М16-6gх55.8.8.Гл ГОСТ 7798-70;7.93469388;0.0;7.93469388;0.0;0.0;0.0
2020-05-10;02560-1;ТЮМЕНЬЭНЕРГО ИНЖИНИРИНГ АО;ДП № 03/96-19 от 27.12.2019, Доп.соглашение № 1 от 15.03.2020 г.;Пробойник_СП-17;0.185;0.185;0.0;0.0;0.0;0.0
2020-05-10;02563-1;ТЮМЕНЬЭНЕРГО ИНЖИНИРИНГ АО;ДП № 03/96-19 от 27.12.2019, Доп.соглашение № 1 от 15.03.2020 г.;Болт М20-6gх200.5.8.Гл ГОСТ 7798-70;185.04634398;0.0;185.04634398;0.0;0.0;0.0
2020-05-10;02563-1;ТЮМЕНЬЭНЕРГО ИНЖИНИРИНГ АО;ДП № 03/96-19 от 27.12.2019, Доп.соглашение № 1 от 15.03.2020 г.;Болт М24-6gх80.8.8.Гл ГОСТ 7798-70;178.89598352;0.0;0.0;0.0;178.89598352;0.0
2020-05-10;02563-1;ТЮМЕНЬЭНЕРГО ИНЖИНИРИНГ АО;ДП № 03/96-19 от 27.12.2019, Доп.соглашение № 1 от 15.03.2020 г.;Болт М24-6gх85.8.8.Гл ГОСТ 7798-70;55.34088568;0.0;55.34088568;0.0;0.0;0.0
2020-05-10;922051-1;СН-МНГ ПАО;ДП_27605_30915_39358 от 23.12.2019, Спецификация №1 (1965) от 23.12.2019;Болт М14-6gх55.8.8.Гл ГОСТ Р ИСО 4014-2013;7.11530612;0.0;7.11530612;0.0;0.0;0.0
2020-05-10;02563-1;ТЮМЕНЬЭНЕРГО ИНЖИНИРИНГ АО;ДП № 03/96-19 от 27.12.2019, Доп.соглашение № 1 от 15.03.2020 г.;Болт М30-6gх85.8.8.Гл ГОСТ 7798-70;25.04428424;0.0;25.04428424;0.0;0.0;0.0
2020-05-10;02563-1;ТЮМЕНЬЭНЕРГО ИНЖИНИРИНГ АО;ДП № 03/96-19 от 27.12.2019, Доп.соглашение № 1 от 15.03.2020 г.;Болт М30-6gх90.8.8.Гл ГОСТ 7798-70;76.51905252;0.0;0.0;0.0;76.51905252;0.0
2020-05-10;02563-1;ТЮМЕНЬЭНЕРГО ИНЖИНИРИНГ АО;ДП № 03/96-19 от 27.12.2019, Доп.соглашение № 1 от 15.03.2020 г.;Гайка М16-6h.8.Гл ГОСТ 5915-70;6.89598352;0.0;6.89598352;0.0;0.0;0.0
2020-05-10;02563-1;ТЮМЕНЬЭНЕРГО ИНЖИНИРИНГ АО;ДП № 03/96-19 от 27.12.2019, Доп.соглашение № 1 от 15.03.2020 г.;Болт М24-6gх70.8.8.Гл ГОСТ 7798-70;48.3130793;0.0;48.3130793;0.0;0.0;0.0
2020-05-10;922051-1;СН-МНГ ПАО;ДП_27605_30915_39358 от 23.12.2019, Спецификация №1 (1965) от 23.12.2019;Болт М14-6gх50.8.8.Гл ГОСТ Р ИСО 4014-2013;6.9744898;0.0;6.9744898;0.0;0.0;0.0
2020-05-10;02560-1;ТЮМЕНЬЭНЕРГО ИНЖИНИРИНГ АО;ДП № 03/96-19 от 27.12.2019, Доп.соглашение № 1 от 15.03.2020 г.;Гайка М24-6h.8.Гл ГОСТ 5915-70;73.77342945;0.0;0.0;0.0;73.77342945;0.0
2020-05-10;922051-1;СН-МНГ ПАО;ДП_27605_30915_39358 от 23.12.2019, Спецификация №1 (1965) от 23.12.2019;Гайка М16-6h.8.Гл ГОСТ ISO 4032-2014;2.63439753;0.0;2.63439753;0.0;0.0;0.0
2020-05-10;02551-1;ТЮМЕНЬЭНЕРГО ИНЖИНИРИНГ АО;ДП № 03/96-19 от 27.12.2019, Доп.соглашение № 1 от 15.03.2020 г.;Болт М16-6gх50.8.8.Гл ГОСТ Р ИСО 4014-2013;36.17142857;0.0;36.17142857;0.0;0.0;0.0
2020-05-10;02551-1;ТЮМЕНЬЭНЕРГО ИНЖИНИРИНГ АО;ДП № 03/96-19 от 27.12.2019, Доп.соглашение № 1 от 15.03.2020 г.;Болт М20-6gх200.5.8.Гл ГОСТ Р ИСО 4014-2013;555.13903193;0.0;555.13903193;0.0;0.0;0.0
2020-05-10;02551-1;ТЮМЕНЬЭНЕРГО ИНЖИНИРИНГ АО;ДП № 03/96-19 от 27.12.2019, Доп.соглашение № 1 от 15.03.2020 г.;Болт М24-6gх70.8.8.Гл ГОСТ Р ИСО 4014-2013;144.9392379;0.0;144.9392379;0.0;0.0;0.0
2020-05-10;02551-1;ТЮМЕНЬЭНЕРГО ИНЖИНИРИНГ АО;ДП № 03/96-19 от 27.12.2019, Доп.соглашение № 1 от 15.03.2020 г.;Болт М30-6gх85.8.8.Гл ГОСТ Р ИСО 4014-2013;75.13285273;0.0;75.13285273;0.0;0.0;0.0
2020-05-10;02551-1;ТЮМЕНЬЭНЕРГО ИНЖИНИРИНГ АО;ДП № 03/96-19 от 27.12.2019, Доп.соглашение № 1 от 15.03.2020 г.;Болт М24-6gх80.8.8.Гл ГОСТ Р ИСО 4014-2013;536.68795057;0.0;0.0;0.0;536.68795057;0.0
2020-05-10;02551-1;ТЮМЕНЬЭНЕРГО ИНЖИНИРИНГ АО;ДП № 03/96-19 от 27.12.2019, Доп.соглашение № 1 от 15.03.2020 г.;Гайка М24-6h.8.Гл ГОСТ ISO 4032-2014;537.54067971;0.0;0.0;0.0;537.54067971;0.0
2020-05-10;02551-1;ТЮМЕНЬЭНЕРГО ИНЖИНИРИНГ АО;ДП № 03/96-19 от 27.12.2019, Доп.соглашение № 1 от 15.03.2020 г.;Табличка 63х80 12Х18Н10Т;0.12;0.12;0.0;0.0;0.0;0.0
2020-05-10;02551-1;ТЮМЕНЬЭНЕРГО ИНЖИНИРИНГ АО;ДП № 03/96-19 от 27.12.2019, Доп.соглашение № 1 от 15.03.2020 г.;Болт М30-6gх90.8.8.Гл ГОСТ Р ИСО 4014-2013;229.55715757;0.0;0.0;0.0;229.55715757;0.0
2020-05-10;02551-1;ТЮМЕНЬЭНЕРГО ИНЖИНИРИНГ АО;ДП № 03/96-19 от 27.12.2019, Доп.соглашение № 1 от 15.03.2020 г.;Болт М30-6gх95.8.8.Гл ГОСТ Р ИСО 4014-2013;42.87126674;0.0;42.87126674;0.0;0.0;0.0
2020-05-10;02551-1;ТЮМЕНЬЭНЕРГО ИНЖИНИРИНГ АО;ДП № 03/96-19 от 27.12.2019, Доп.соглашение № 1 от 15.03.2020 г.;Болт М24-6gх85.8.8.Гл ГОСТ Р ИСО 4014-2013;166.02265705;0.0;166.02265705;0.0;0.0;0.0
2020-05-10;02551-1;ТЮМЕНЬЭНЕРГО ИНЖИНИРИНГ АО;ДП № 03/96-19 от 27.12.2019, Доп.соглашение № 1 от 15.03.2020 г.;Болт М24-6gх90.8.8.Гл ГОСТ Р ИСО 4014-2013;259.58805355;0.0;259.58805355;0.0;0.0;0.0
2020-05-10;922051-1;СН-МНГ ПАО;ДП_27605_30915_39358 от 23.12.2019, Спецификация №1 (1965) от 23.12.2019;Болт М14-6gх45.8.8.Гл ГОСТ Р ИСО 4014-2013;1.89387755;0.0;1.89387755;0.0;0.0;0.0
2020-05-10;922051-1;СН-МНГ ПАО;ДП_27605_30915_39358 от 23.12.2019, Спецификация №1 (1965) от 23.12.2019;Шайба 20 Гл ГОСТ 11371-78;0.35427394;0.0;0.35427394;0.0;0.0;0.0
2020-05-10;922051-1;СН-МНГ ПАО;ДП_27605_30915_39358 от 23.12.2019, Спецификация №1 (1965) от 23.12.2019;Шайба 16 Гл ГОСТ 6402-70;0.42636457;0.0;0.42636457;0.0;0.0;0.0
2020-05-10;922051-1;СН-МНГ ПАО;ДП_27605_30915_39358 от 23.12.2019, Спецификация №1 (1965) от 23.12.2019;Шайба 16 Гл ГОСТ 11371-78;0.79196704;0.0;0.79196704;0.0;0.0;0.0
2020-05-10;922051-1;СН-МНГ ПАО;ДП_27605_30915_39358 от 23.12.2019, Спецификация №1 (1965) от 23.12.2019;Шайба 14 Гл ГОСТ 6402-70;0.84963955;0.0;0.84963955;0.0;0.0;0.0
2020-05-10;922051-1;СН-МНГ ПАО;ДП_27605_30915_39358 от 23.12.2019, Спецификация №1 (1965) от 23.12.2019;Шайба 14 Гл ГОСТ 11371-78;1.6323378;0.0;1.6323378;0.0;0.0;0.0
