Болт М27-6gх85.8.8.Гл ГОСТ Р ИСО 4014-2013;0.0;0.0;0.0;0.0;0.0;0.0;47.98406695;0.0;124.26673532000001;0.0;0.0;18.40988672;0.0;0.0;1.0;кг
Болт М27-6gх95.8.8.ГЦ ГОСТ Р ИСО 4014-2013;22.82621009;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;кг
Болт М36-6gх120.8.8.ГЦ ГОСТ Р ИСО 4014-2013;36.716;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;кг
Болт М36-6gх120.8.8.Гл ГОСТ Р ИСО 4014-2013;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;167.8329999999999;0.0;287.248;530.304;530.304;0.0;1.0;кг
Болт М36-6gх140.8.8.Гл ГОСТ Р ИСО 4014-2013;0.0;254.14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;кг
Болт М6-6gх30.8.8.ГЦ ГОСТ Р ИСО 4014-2013;0.07415036;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;кг
Болт М8-6gх35.8.8.ТД5 ГОСТ Р ИСО 4014-2013;0.0;15.72142857;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;кг
Болт по чертежу М42х420.09Г2С-6.ТД5 Чертёж 13082тм-т1;0.0;169.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.3;шт
Винт М10-6gх40.8.8.ГЦ ГОСТ Р ИСО 4014-2013;0.99;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;кг
Винт М10-6gх45.8.8.Гл ГОСТ Р ИСО 4014-2013;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;кг
Винт М6-6gх20.8.8.ГЦ ГОСТ Р ИСО 4014-2013;0.324;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;кг
Винт М8-6gх20.8.8.Гл ГОСТ Р ИСО 4014-2013;0.0;0.027;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;кг
Винт М8-6gх30.8.8.ГЦ ГОСТ Р ИСО 4014-2013;0.144;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;кг
Вязка спиральная ВС 120/150.2;0.0;0.0;0.0;51.0;0.0;80.0;28.0;82.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;шт
Гайка М10-6h.8.ГЦ ГОСТ ISO 4032-2014;0.58571428;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;кг
Гайка М10-6h.8.Гл ГОСТ ISO 4032-2014;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.4060854699999998;0.0;0.0;0.0;0.0;0.0;0.0;1.0;кг
Гайка М12-6h.5.Гл ГОСТ ISO 4032-2014;0.0;0.03295572;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;кг
Гайка М16-6h.10.Гл ГОСТ ISO 4032-2014;0.0;0.15550978;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;кг
Гайка М16-6h.5.Гл ГОСТ ISO 4032-2014;0.0;866.4596025;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;кг
Гайка М16-6h.5.ТД5 ГОСТ ISO 4032-2014;0.0;10.343975279999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;кг
Гайка М18-6h.5.Гл ГОСТ ISO 4032-2014;0.0;3.04489796;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;кг
Гайка М18-6h.8.ГЦ ГОСТ ISO 4032-2014;18.884305850000004;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;кг
Гайка М36-6h.6.Гл ГОСТ ISO 4032-2014;0.0;0.09960350000000018;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;кг
Гайка М36-6h.8.Гл ГОСТ ISO 4032-2014;0.0;1637.1951194799997;0.0;0.0;0.0;0.0;329.64778579;0.0;329.64778579;0.0;178.5592173;329.64778579;329.64778579;0.0;1.0;кг
Гайка М36-6h.8.ТД5 ГОСТ ISO 4032-2014;0.0;137.40885684999998;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;кг
Гайка М42-6h.8.Гл ГОСТ ISO 4032-2014;0.0;229.59900000000002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;кг
Гайка М42-6h.8.ТД5 ГОСТ ISO 4032-2014;0.0;161.87100000000007;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;кг
Гайка М48-6h.8.Гл ГОСТ ISO 4032-2014;0.0;952.28;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.956;шт
Гайка М6-6h.8.ГЦ ГОСТ ISO 4032-2014;0.2554068;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;кг
Гайка М8-6h.5.ТД5 ГОСТ ISO 4032-2014;0.0;5.18125644;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;кг
Гайка М8-6h.8.ГЦ ГОСТ ISO 4032-2014;0.09;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;кг
Гайка М8-6h.8.ТД5 ГОСТ ISO 4032-2014;0.0;0.15615859999999993;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;кг
