Дата потребности;Порядковый номер;Заказ-Партия;Номенклатура потребности;Потребность из файла;Потребность нач;Потребность кон;Списание потребности;Склад;Дата списания остат;Номенклатура Списания;Остатки нач;Остатки кон;Списание остатков;Дата учета
2020-08-30;216;02756-29;Шайба 20 Гл ГОСТ 11371-78;0.0;0.03297218999999996;0.0;0.03297218999999996;Центральный склад;2021-01-26;Шайба 20 Гл ГОСТ 11371-78;504.976;504.94302781;0.03297218999999996;2020-08-30
2020-09-02;217;02756-30;Шайба 20 Гл ГОСТ 11371-78;0.0;0.02472915000000009;0.0;0.02472915000000009;Центральный склад;2021-01-26;Шайба 20 Гл ГОСТ 11371-78;504.94302781;504.91829866;0.02472915000000009;2020-09-02
2020-10-09;4641;021868-1;Пробойник_СП-17;0.0;11.47;0.0;11.47;Центральный склад;2021-01-26;Пробойник_СП-17;148.37;136.9;11.47;2020-10-09
2020-10-09;4642;021868-1;Пробойник_СП-21;0.0;17.856;0.0;17.856;Центральный склад;2021-01-26;Пробойник_СП-21;123.84;105.98400000000001;17.856;2020-10-09
2020-10-09;4643;021868-1;Пробойник_СП-25;0.0;25.668;0.0;25.668;Центральный склад;2021-01-26;Пробойник_СП-25;66.654;40.986;25.668;2020-10-09
2020-10-09;4645;021868-1;Болт М16-6gх55.8.8.ТД5 ГОСТ Р ИСО 4014-2013;0.0;418.94285714;0.0;418.94285714;Центральный склад;2021-01-26;Болт М16-6gх55.8.8.ТД5 ГОСТ Р ИСО 4014-2013;1167.324;748.3811428600001;418.94285714;2020-10-09
2020-10-09;4646;021868-1;Гайка М16-6h.8.ТД5 ГОСТ ISO 4032-2014;0.0;357.82492276;0.0;357.82492276;Центральный склад;2021-01-26;Гайка М16-6h.8.ТД5 ГОСТ ISO 4032-2014;573.349;215.52407724000005;357.82492276;2020-10-09
2020-10-09;4647;021868-1;Шайба 16 ТД5 ГОСТ 11371-78;0.0;107.52626159;0.0;107.52626159;Центральный склад;2021-01-26;Шайба 16 ТД5 ГОСТ 11371-78;689.043;581.51673841;107.52626159;2020-10-09
2020-10-09;4648;021868-1;Шайба 16 ТД5 ГОСТ 6402-70;0.0;57.84963955;0.0;57.84963955;Центральный склад;2021-01-26;Шайба 16 ТД5 ГОСТ 6402-70;169.123;111.27336044999998;57.84963955;2020-10-09
2020-10-09;4649;021868-1;Болт М16-6gх50.8.8.ТД5 ГОСТ Р ИСО 4014-2013;0.0;416.85510204;0.0;416.85510204;Центральный склад;2021-01-26;Болт М16-6gх50.8.8.ТД5 ГОСТ Р ИСО 4014-2013;937.956;521.10089796;416.85510204;2020-10-09
2020-10-09;4650;021868-1;Болт М16-6gх60.8.8.ТД5 ГОСТ Р ИСО 4014-2013;0.0;298.83367347;0.0;298.83367347;Центральный склад;2021-01-26;Болт М16-6gх60.8.8.ГЦ ГОСТ Р ИСО 4014-2013;3744.639;3445.80532653;298.83367347;2020-10-09
2020-10-09;4651;021868-1;Болт М20-6gх200.5.8.ТД5 ГОСТ Р ИСО 4014-2013;555.9407899099997;2387.40778991;555.9407899099997;1831.467;Центральный склад;2021-01-26;Болт М20-6gх200.5.8.ТД5 ГОСТ Р ИСО 4014-2013;1831.467;0.0;1831.467;2020-10-09
2020-10-09;4651;021868-1;Болт М20-6gх200.5.8.ТД5 ГОСТ Р ИСО 4014-2013;0.0;555.9407899099997;0.0;555.9407899099997;Центральный склад;2021-01-26;Болт М20-6gх200.5.8.ГЦ ГОСТ Р ИСО 4014-2013;12596.533;12040.592210089999;555.9407899099997;2020-10-09
2020-10-09;4652;021868-1;Болт М20-6gх60.8.8.ТД5 ГОСТ Р ИСО 4014-2013;0.0;379.27909372;0.0;379.27909372;Центральный склад;2021-01-26;Болт М20-6gх60.8.8.ТД5 ГОСТ Р ИСО 4014-2013;608.852;229.57290627999998;379.27909372;2020-10-09
2020-10-09;4653;021868-1;Болт М20-6gх65.8.8.ТД5 ГОСТ Р ИСО 4014-2013;128.10136663000003;838.56436663;128.10136663000003;710.463;Центральный склад;2021-01-26;Болт М20-6gх65.8.8.ТД5 ГОСТ Р ИСО 4014-2013;710.463;0.0;710.463;2020-10-09
2020-10-09;4653;021868-1;Болт М20-6gх65.8.8.ТД5 ГОСТ Р ИСО 4014-2013;0.0;128.10136663000003;0.0;128.10136663000003;Центральный склад;2021-01-26;Болт М20-6gх65.8.8.ГЦ ГОСТ Р ИСО 4014-2013;4311.097;4182.995633369999;128.10136663000003;2020-10-09
2020-10-09;4654;021868-1;Болт М20-6gх70.8.8.ТД5 ГОСТ Р ИСО 4014-2013;0.0;130.64057673;0.0;130.64057673;Центральный склад;2021-01-26;Болт М20-6gх70.8.8.ГЦ ГОСТ Р ИСО 4014-2013;2144.537;2013.8964232699998;130.64057673;2020-10-09
2020-10-09;4655;021868-1;Болт М24-6gх70.8.8.ТД5 ГОСТ Р ИСО 4014-2013;0.0;81.92173018;0.0;81.92173018;Центральный склад;2021-01-26;Болт М24-6gх70.8.8.ТД5 ГОСТ Р ИСО 4014-2013;751.034;669.1122698199999;81.92173018;2020-10-09
2020-10-09;4656;021868-1;Болт М24-6gх75.8.8.ТД5 ГОСТ Р ИСО 4014-2013;0.0;257.67353244;0.0;257.67353244;Центральный склад;2021-01-26;Болт М24-6gх75.8.8.ТД5 ГОСТ Р ИСО 4014-2013;2072.669;1814.99546756;257.67353244;2020-10-09
2020-10-09;4657;021868-1;Болт М24-6gх80.8.8.ТД5 ГОСТ Р ИСО 4014-2013;0.0;64.20288363;0.0;64.20288363;Центральный склад;2021-01-26;Болт М24-6gх80.8.8.ТД5 ГОСТ Р ИСО 4014-2013;167.264;103.06111637000001;64.20288363;2020-10-09
2020-10-09;4658;021868-1;Гайка М20-6h.5.ТД5 ГОСТ ISO 4032-2014;0.0;748.1184346;0.0;748.1184346;Центральный склад;2021-01-26;Гайка М20-6h.5.ГЦ ГОСТ ISO 4032-2014;6891.351;6143.2325654;748.1184346;2020-10-09
2020-10-09;4659;021868-1;Гайка М20-6h.8.ТД5 ГОСТ ISO 4032-2014;384.52935118;426.52935118;384.52935118;42.0;Центральный склад;2021-01-26;Гайка М20-6h.8.ТД5 ГОСТ ISO 4032-2014;42.0;0.0;42.0;2020-10-09
2020-10-09;4659;021868-1;Гайка М20-6h.8.ТД5 ГОСТ ISO 4032-2014;0.0;384.52935118;0.0;384.52935118;Центральный склад;2021-01-26;Гайка М20-6h.8.ГЦ ГОСТ ISO 4032-2014;7628.027;7243.49764882;384.52935118;2020-10-09
2020-10-09;4660;021868-1;Гайка М24-6h.8.ТД5 ГОСТ ISO 4032-2014;0.0;129.45932029;0.0;129.45932029;Центральный склад;2021-01-26;Гайка М24-6h.8.ТД5 ГОСТ ISO 4032-2014;262.851;133.39167971;129.45932029;2020-10-09
2020-10-09;4661;021868-1;Шайба 20 ТД5 ГОСТ 11371-78;0.0;102.45005149;0.0;102.45005149;Центральный склад;2021-01-26;Шайба 20 ТД5 ГОСТ 11371-78;325.23;222.77994851;102.45005149;2020-10-09
2020-10-09;4662;021868-1;Шайба 20 ТД5 ГОСТ 6402-70;0.0;142.22966014;0.0;142.22966014;Центральный склад;2021-01-26;Шайба 20 ТД5 ГОСТ 6402-70;493.209;350.97933986;142.22966014;2020-10-09
2020-10-09;4663;021868-1;Шайба 24 ТД5 ГОСТ 11371-78;0.0;34.06488157;0.0;34.06488157;Центральный склад;2021-01-26;Шайба 24 ТД5 ГОСТ 11371-78;389.335;355.27011842999997;34.06488157;2020-10-09
2020-10-09;4664;021868-1;Шайба 24 ТД5 ГОСТ 6402-70;0.0;23.91246138;0.0;23.91246138;Центральный склад;2021-01-26;Шайба 24 ТД5 ГОСТ 6402-70;73.071;49.15853862;23.91246138;2020-10-09
2020-10-10;4665;021869-1;Пробойник_СП-17;0.0;0.74;0.0;0.74;Центральный склад;2021-01-26;Пробойник_СП-17;136.9;136.16;0.74;2020-10-10
2020-10-10;4666;021869-1;Пробойник_СП-21;0.0;1.152;0.0;1.152;Центральный склад;2021-01-26;Пробойник_СП-21;105.98400000000001;104.83200000000001;1.152;2020-10-10
2020-10-10;4667;021869-1;Пробойник_СП-25;0.0;1.656;0.0;1.656;Центральный склад;2021-01-26;Пробойник_СП-25;40.986;39.33;1.656;2020-10-10
2020-10-10;4669;021869-1;Болт М16-6gх55.8.8.ТД5 ГОСТ Р ИСО 4014-2013;0.0;34.96326531;0.0;34.96326531;Центральный склад;2021-01-26;Болт М16-6gх55.8.8.ТД5 ГОСТ Р ИСО 4014-2013;748.3811428600001;713.4178775500001;34.96326531;2020-10-10
2020-10-10;4670;021869-1;Гайка М16-6h.8.ТД5 ГОСТ ISO 4032-2014;0.0;26.8815654;0.0;26.8815654;Центральный склад;2021-01-26;Гайка М16-6h.8.ТД5 ГОСТ ISO 4032-2014;215.52407724000005;188.64251184000005;26.8815654;2020-10-10
2020-10-10;4671;021869-1;Шайба 16 ТД5 ГОСТ 11371-78;0.0;8.07826982;0.0;8.07826982;Центральный склад;2021-01-26;Шайба 16 ТД5 ГОСТ 11371-78;581.51673841;573.4384685900001;8.07826982;2020-10-10
2020-10-10;4672;021869-1;Шайба 16 ТД5 ГОСТ 6402-70;0.0;4.34603502;0.0;4.34603502;Центральный склад;2021-01-26;Шайба 16 ТД5 ГОСТ 6402-70;111.27336044999998;106.92732542999998;4.34603502;2020-10-10
2020-10-10;4673;021869-1;Болт М16-6gх50.8.8.ТД5 ГОСТ Р ИСО 4014-2013;0.0;28.05306122;0.0;28.05306122;Центральный склад;2021-01-26;Болт М16-6gх50.8.8.ТД5 ГОСТ Р ИСО 4014-2013;521.10089796;493.04783674;28.05306122;2020-10-10
2020-10-10;4674;021869-1;Болт М16-6gх60.8.8.ТД5 ГОСТ Р ИСО 4014-2013;0.0;22.44693878;0.0;22.44693878;Центральный склад;2021-01-26;Болт М16-6gх60.8.8.ГЦ ГОСТ Р ИСО 4014-2013;3445.80532653;3423.35838775;22.44693878;2020-10-10
2020-10-10;4675;021869-1;Болт М20-6gх200.5.8.ТД5 ГОСТ Р ИСО 4014-2013;0.0;217.42945417;0.0;217.42945417;Центральный склад;2021-01-26;Болт М20-6gх200.5.8.ГЦ ГОСТ Р ИСО 4014-2013;12040.592210089999;11823.162755919999;217.42945417;2020-10-10
2020-10-10;4676;021869-1;Болт М20-6gх60.8.8.ТД5 ГОСТ Р ИСО 4014-2013;0.0;24.46961895;0.0;24.46961895;Центральный склад;2021-01-26;Болт М20-6gх60.8.8.ТД5 ГОСТ Р ИСО 4014-2013;229.57290627999998;205.10328732999997;24.46961895;2020-10-10
2020-10-10;4677;021869-1;Болт М20-6gх65.8.8.ТД5 ГОСТ Р ИСО 4014-2013;0.0;54.10092688;0.0;54.10092688;Центральный склад;2021-01-26;Болт М20-6gх65.8.8.ГЦ ГОСТ Р ИСО 4014-2013;4182.995633369999;4128.894706489999;54.10092688;2020-10-10
2020-10-10;4678;021869-1;Болт М20-6gх70.8.8.ТД5 ГОСТ Р ИСО 4014-2013;0.0;32.22657055;0.0;32.22657055;Центральный склад;2021-01-26;Болт М20-6gх70.8.8.ГЦ ГОСТ Р ИСО 4014-2013;2013.8964232699998;1981.6698527199999;32.22657055;2020-10-10
