Дата запуска;0.0;1.0;2.0;3.0;4.0;5.0;6.0;7.0;8.0;9.0;10.0;11.0;12.0;13.0;14.0;15.0;17.0
Дата запуска;2020-04-15 00:00:00;2020-04-16 00:00:00;2020-04-17 00:00:00;2020-04-18 00:00:00;2020-04-19 00:00:00;2020-04-20 00:00:00;2020-04-21 00:00:00;2020-04-22 00:00:00;2020-04-23 00:00:00;2020-04-24 00:00:00;2020-04-25 00:00:00;2020-04-26 00:00:00;2020-04-27 00:00:00;2020-04-28 00:00:00;2020-04-29 00:00:00;2020-04-30 00:00:00;2020-05-02 00:00:00
Номенклатура;;;;;;;;;;;;;;;;;
Болт М20-6gх65.8.8.Гл ГОСТ Р ИСО 4014-2013;2120.286112199999;0.0;0.0;0.0;241.81359422999998;0.0;361.77445931;31.99691039;99.53964985;0.0;0.0;0.0;0.0;0.0;0.0;223.22245108;223.22245108
Болт М20-6gх65.8.8.ТД4 ГОСТ Р ИСО 4014-2013;349.81445515999997;67.77342945;0.0;67.77342945;0.0;0.0;61.18434604;0.0;7.53038104;6.58908342;8.471678690000001;5.64778578;37.651905240000005;86.59938208;0.0;81.89289391999999;67.77342945
Болт М20-6gх65.8.8.бп ГОСТ Р ИСО 4014-2013;1.88259526;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Болт М20-6gх90.8.8.ГЦ ГОСТ Р ИСО 4014-2013;0.9011802300000016;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.97322348;0.0;0.0;0.0;0.0
Болт М20-6gх90.8.8.Гл ГОСТ Р ИСО 4014-2013;2.17033882999997;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Болт М24-6gх110.8.8.ТД4 ГОСТ Р ИСО 4014-2013;16.76622039;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Болт М24-6gх75.8.8.ГЦ ГОСТ Р ИСО 4014-2013;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;129.81668384;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Болт М24-6gх75.8.8.Гл ГОСТ Р ИСО 4014-2013;0.0;0.0;0.0;0.0;57.901239959997696;0.0;201.45726056;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;272.69207003;272.69207003
Болт М24-6gх80.8.8.ГЦ ГОСТ Р ИСО 4014-2013;4204.14012051;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Болт М24-6gх80.8.8.Гл ГОСТ Р ИСО 4014-2013;1150.4845365699998;0.0;72.05561277;0.0;414.11122553999996;0.0;354.89907311999997;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;479.12564367;479.12564367
