Поряд_номер;Номер победы;Партия;Дата запуска;Код;Номенклатура;Количество в заказе;Перемещено;Дефицит;Заказ обеспечен;Пометка удаления;Заказчик;Спецификация;Дата начала факт;Приоритет;Дата поступления КМД;Количество штук;Изделие;Статус;Заказ-Партия;Нельзя_заменять;Закуп подтвержден;Возможный заказ;Некомплектная_отгрузка;Полная_отгрузка;ТН;Списание из Цент склада;Списание из ТН;Списание из Поступлений;Остаток дефицита
678;921180;1;2019-12-08;00-00000828;Болт М8-6gх30.8.8.Гл ГОСТ Р ИСО 4014-2013;0.5255102;0.0;0.0;0.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  23(1784) от 17.07.2019;0;0.0;0;5.0;Мачта   прожекторная Н=21м Опросный лист 8672-Р8.2-8.1-ЭМ.ОЛ;К производству;921180-1;0;1;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
662;921180;1;2019-12-08;00000001020;Шайба 10 Гл ГОСТ 11371-78;0.16477858;0.0;0.0;0.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  23(1784) от 17.07.2019;0;0.0;0;5.0;Мачта   прожекторная Н=21м Опросный лист 8672-Р8.2-8.1-ЭМ.ОЛ;К производству;921180-1;0;1;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
663;921180;1;2019-12-08;00000000659;Шайба 20 Гл ГОСТ 11371-78;1.05561277;0.0;0.0;0.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  23(1784) от 17.07.2019;0;0.0;0;5.0;Мачта   прожекторная Н=21м Опросный лист 8672-Р8.2-8.1-ЭМ.ОЛ;К производству;921180-1;0;1;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
664;921180;1;2019-12-08;00000006907;Шайба 30 Гл ГОСТ 11371-78;17.66735324;0.0;0.0;0.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  23(1784) от 17.07.2019;0;0.0;0;5.0;Мачта   прожекторная Н=21м Опросный лист 8672-Р8.2-8.1-ЭМ.ОЛ;К производству;921180-1;0;1;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
665;921180;1;2019-12-08;00000000410;Шайба 6 Гл ГОСТ 11371-78;0.05149331;0.0;0.0;0.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  23(1784) от 17.07.2019;0;0.0;0;5.0;Мачта   прожекторная Н=21м Опросный лист 8672-Р8.2-8.1-ЭМ.ОЛ;К производству;921180-1;0;1;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
666;921180;1;2019-12-08;00000001022;Шайба 8 Гл ГОСТ 11371-78;0.09268795;0.0;0.0;0.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  23(1784) от 17.07.2019;0;0.0;0;5.0;Мачта   прожекторная Н=21м Опросный лист 8672-Р8.2-8.1-ЭМ.ОЛ;К производству;921180-1;0;1;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
668;921180;1;2019-12-08;00000014686;"Прожектор ЖКУ 26-2х400-005 ""Факел Р-2х400Ж"" в компл с 2 лампами ДНаТ-400,двумя ПРА. U=220В,IР65";15.0;0.0;0.0;0.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  23(1784) от 17.07.2019;0;0.0;0;5.0;Мачта   прожекторная Н=21м Опросный лист 8672-Р8.2-8.1-ЭМ.ОЛ;К производству;921180-1;0;1;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
669;921180;1;2019-12-08;00000004350;Коробка протяжная У994, IP54;15.0;0.0;0.0;0.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  23(1784) от 17.07.2019;0;0.0;0;5.0;Мачта   прожекторная Н=21м Опросный лист 8672-Р8.2-8.1-ЭМ.ОЛ;К производству;921180-1;0;1;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
670;921180;1;2019-12-08;00000016058;Наконечник медный ТМЛ 6-6-4;25.0;0.0;0.0;0.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  23(1784) от 17.07.2019;0;0.0;0;5.0;Мачта   прожекторная Н=21м Опросный лист 8672-Р8.2-8.1-ЭМ.ОЛ;К производству;921180-1;0;1;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
671;921180;1;2019-12-08;00000017127;Провод заземляющий ПуГВ -ХЛ 1х6мм2;10.0;0.0;0.0;0.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  23(1784) от 17.07.2019;0;0.0;0;5.0;Мачта   прожекторная Н=21м Опросный лист 8672-Р8.2-8.1-ЭМ.ОЛ;К производству;921180-1;0;1;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
