Дата потребности;Порядковый номер;Заказ-Партия;Номенклатура потребности;Потребность из файла;Потребность нач;Потребность кон;Списание потребности;Склад;Дата списания остат;Номенклатура Списания;Остатки нач;Остатки кон;Списание остатков;Дата учета
2019-12-18;2560;92943-5;Гайка М14-6h.8.Гл ГОСТ 5915-70;0.0;151.9299691;0.0;151.9299691;Центральный склад;2020-05-12;Гайка М14-6h.8.Гл ГОСТ 5915-70;913.486;761.5560309;151.9299691;2019-12-18
2019-12-18;2551;92943-5;Болт М14-6gх45.8.8.Гл ГОСТ 7798-70;111.24842857000002;192.77142857;111.24842857000002;81.523;Центральный склад;2020-05-12;Болт М14-6gх45.8.8.Гл ГОСТ 7798-70;81.523;0.0;81.523;2019-12-18
2019-12-18;2551;92943-5;Болт М14-6gх45.8.8.Гл ГОСТ 7798-70;68.00742857000002;111.24842857000002;68.00742857000002;43.241;Центральный склад;2020-05-12;Болт М14-6gх45.8.8.ТД1 ГОСТ 7798-70;43.241;0.0;43.241;2019-12-18
2019-12-18;2551;92943-5;Болт М14-6gх45.8.8.Гл ГОСТ 7798-70;0.0;68.00742857000002;0.0;68.00742857000002;Центральный склад;2020-05-12;Болт М14-6gх45.8.8.ГЦ ГОСТ 7798-70;542.71;474.70257143000003;68.00742857000002;2019-12-18
2019-12-18;2552;92943-5;Болт М14-6gх50.8.8.Гл ГОСТ 7798-70;0.0;123.84489796;0.0;123.84489796;Центральный склад;2020-05-12;Болт М14-6gх50.8.8.Гл ГОСТ 7798-70;867.192;743.34710204;123.84489796;2019-12-18
2019-12-18;2553;92943-5;Болт М14-6gх55.8.8.Гл ГОСТ 7798-70;0.0;175.5;0.0;175.5;Центральный склад;2020-05-12;Болт М14-6gх55.8.8.Гл ГОСТ 7798-70;376.075;200.575;175.5;2019-12-18
2019-12-18;2554;92943-5;Болт М16-6gх50.8.8.Гл ГОСТ 7798-70;0.0;283.29387755;0.0;283.29387755;Центральный склад;2020-05-12;Болт М16-6gх50.8.8.Гл ГОСТ 7798-70;3811.204;3527.91012245;283.29387755;2019-12-18
2019-12-18;2555;92943-5;Болт М16-6gх55.8.8.Гл ГОСТ 7798-70;0.0;593.11836735;0.0;593.11836735;Центральный склад;2020-05-12;Болт М16-6gх55.8.8.Гл ГОСТ 7798-70;1054.579;461.46063265;593.11836735;2019-12-18
2019-12-18;2556;92943-5;Болт М20-6gх200.8.8.Гл ГОСТ 7798-70;2616.43781153;2736.37281153;2616.43781153;119.935;Центральный склад;2020-05-12;Болт М20-6gх200.8.8.ТД1 ГОСТ 7798-70;119.935;0.0;119.935;2019-12-18
2019-12-18;2557;92943-5;Болт М20-6gх60.8.8.Гл ГОСТ 7798-70;0.0;144.59320288;0.0;144.59320288;Центральный склад;2020-05-12;Болт М20-6gх60.8.8.Гл ГОСТ 7798-70;1873.72;1729.12679712;144.59320288;2019-12-18
2019-12-18;2558;92943-5;Болт М20-6gх65.8.8.Гл ГОСТ 7798-70;0.0;220.15653965;0.0;220.15653965;Центральный склад;2020-05-12;Болт М20-6gх65.8.8.Гл ГОСТ 7798-70;1578.571;1358.41446035;220.15653965;2019-12-18
2019-12-18;2559;92943-5;Болт М20-6gх70.8.8.Гл ГОСТ 7798-70;34.404575699999995;51.5715757;34.404575699999995;17.167;Центральный склад;2020-05-12;Болт М20-6gх70.8.8.Гл ГОСТ 7798-70;17.167;0.0;17.167;2019-12-18
2019-12-18;2559;92943-5;Болт М20-6gх70.8.8.Гл ГОСТ 7798-70;0.0;34.404575699999995;0.0;34.404575699999995;Центральный склад;2020-05-12;Болт М20-6gх70.8.8.ТД1 ГОСТ 7798-70;89.915;55.51042430000001;34.404575699999995;2019-12-18
2019-12-18;2561;92943-5;Гайка М16-6h.8.Гл ГОСТ 5915-70;0.0;279.97528321;0.0;279.97528321;Центральный склад;2020-05-12;Гайка М16-6h.8.Гл ГОСТ 5915-70;2870.101;2590.1257167900003;279.97528321;2019-12-18
2019-12-18;2564;92943-5;Шайба 14 Гл ГОСТ 6402-70;0.0;26.88362513;0.0;26.88362513;Центральный склад;2020-05-12;Шайба 14 Гл ГОСТ 6402-70;135.202;108.31837487;26.88362513;2019-12-18
2019-12-18;2562;92943-5;Гайка М20-6h.8.Гл ГОСТ 5915-70;0.0;828.30484037;0.0;828.30484037;Центральный склад;2020-05-12;Гайка М20-6h.8.Гл ГОСТ 5915-70;2731.373;1903.06815963;828.30484037;2019-12-18
2019-12-18;2568;92943-5;Шайба 20 Гл ГОСТ 6402-70;6.339213180000002;85.28321318;6.339213180000002;78.944;Центральный склад;2020-05-12;Шайба 20 Гл ГОСТ 6402-70;78.944;0.0;78.944;2019-12-18
2019-12-18;2568;92943-5;Шайба 20 Гл ГОСТ 6402-70;0.0;6.339213180000002;0.0;6.339213180000002;Центральный склад;2020-05-12;Шайба 20 ТД1 ГОСТ 6402-70;637.144;630.80478682;6.339213180000002;2019-12-18
2019-12-18;2567;92943-5;Шайба 20 Гл ГОСТ 11371-78;0.0;31.70339856;0.0;31.70339856;Центральный склад;2020-05-12;Шайба 20 Гл ГОСТ 11371-78;911.415;879.71160144;31.70339856;2019-12-18
2019-12-18;2566;92943-5;Шайба 16 Гл ГОСТ 6402-70;0.0;45.2523172;0.0;45.2523172;Центральный склад;2020-05-12;Шайба 16 Гл ГОСТ 6402-70;919.726;874.4736828;45.2523172;2019-12-18
2019-12-18;2565;92943-5;Шайба 16 Гл ГОСТ 11371-78;0.0;84.10504634;0.0;84.10504634;Центральный склад;2020-05-12;Шайба 16 ТД1 ГОСТ 11371-78;277.918;193.81295366;84.10504634;2019-12-18
