Дата запуска;0.0;1.0;2.0;4.0;5.0;6.0;7.0;8.0;9.0;10.0;11.0;12.0;13.0;14.0;15.0;16.0;17.0;18.0;20.0;21.0;22.0
Дата запуска;2020-04-18 00:00:00;2020-04-19 00:00:00;2020-04-20 00:00:00;2020-04-22 00:00:00;2020-04-23 00:00:00;2020-04-24 00:00:00;2020-04-25 00:00:00;2020-04-26 00:00:00;2020-04-27 00:00:00;2020-04-28 00:00:00;2020-04-29 00:00:00;2020-04-30 00:00:00;2020-05-01 00:00:00;2020-05-02 00:00:00;2020-05-03 00:00:00;2020-05-04 00:00:00;2020-05-05 00:00:00;2020-05-06 00:00:00;2020-05-08 00:00:00;2020-05-09 00:00:00;2020-05-10 00:00:00
Номенклатура;;;;;;;;;;;;;;;;;;;;;
Болт М20-6gх65.8.8.Гл ГОСТ Р ИСО 4014-2013;2794.74820385;0.0;262.51493304999997;373.07003088000005;99.53964985;4.979577750000004;0.0;223.22245108;0.0;0.0;223.22245108;0.0;169.35942327;3.99897013;0.0;197.58599382;7.52832132;197.58599382;193.82904222000002;0.0;154.3069001
Болт М20-6gх65.8.8.ТД4 ГОСТ Р ИСО 4014-2013;485.3613140599999;61.18434604;0.0;0.0;7.53038104;6.58908342;8.471678690000001;39.5345005;71.53861996999998;18.82595263;67.77342945;14.11946447;67.77342945;0.0;67.77342945;0.0;11.29557158;16.94335736;9.4129763;7.530381050000001;19.767250249999996
Болт М20-6gх65.8.8.бп ГОСТ Р ИСО 4014-2013;1.88259526;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Болт М20-6gх70.8.8.ГЦ ГОСТ Р ИСО 4014-2013;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.46240989;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Болт М20-6gх70.8.8.Гл ГОСТ Р ИСО 4014-2013;0.0;0.0;0.0;316.6672276200003;22.31204943;0.5752214199999983;0.0;25.78578785;0.0;0.0;25.78578785;0.0;23.80226571;0.0;0.0;27.76930999;3.96704428;27.76930999;194.34809475;0.0;28.25952626
Болт М20-6gх90.8.8.ГЦ ГОСТ Р ИСО 4014-2013;0.9011802300000016;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.97322348;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Болт М20-6gх90.8.8.Гл ГОСТ Р ИСО 4014-2013;2.17033882999997;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Болт М24-6gх110.8.8.ТД4 ГОСТ Р ИСО 4014-2013;16.76622039;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Болт М24-6gх75.8.8.ГЦ ГОСТ Р ИСО 4014-2013;0.0;0.0;283.61400000000003;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Болт М24-6gх75.8.8.Гл ГОСТ Р ИСО 4014-2013;184.52746343999692;0.0;139.31822863;201.45726056;0.0;6.083130789999984;0.0;272.69207003;0.0;0.0;272.69207003;0.0;251.71575695;0.0;0.0;293.66838311;0.0;293.66838311;313.46035015999996;0.0;531.13491246
Болт М24-6gх80.8.8.ГЦ ГОСТ Р ИСО 4014-2013;4267.9250113;0.0;213.68074151;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Болт М24-6gх80.8.8.Гл ГОСТ Р ИСО 4014-2013;2650.97205153;0.0;414.11122553999996;354.8990731200001;0.0;10.688187439999979;0.0;479.12564367;0.0;0.0;479.12564367;0.0;442.26982492;0.0;0.0;515.98146241;0.0;515.98146241;576.4407827;0.0;202.91452111
Болт М24-6gх80.8.8.ТД4 ГОСТ Р ИСО 4014-2013;82.89495365;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.94850669;14.92276004;8.290422229999999;6.6323378;4.97425335
Болт М24-6gх85.8.8.ГЦ ГОСТ Р ИСО 4014-2013;317.30082388;0.0;58.79711638;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Болт М24-6gх85.8.8.Гл ГОСТ Р ИСО 4014-2013;245.57569516;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;55.34088568;0.0;49.28733265
