Дата потребности;Порядковый номер;Заказ-Партия;Номенклатура потребности;Потребность из файла;Потребность нач;Потребность кон;Списание потребности;Склад;Дата списания остат;Номенклатура Списания;Остатки нач;Остатки кон;Списание остатков;Дата учета
2021-01-25 15:22:46.738113000;7845;02411-1;Болт М30-6gх85.8.8.ГЦ ГОСТ Р ИСО 4014-2013;0.0;12.52214212;0.0;12.52214212;Центральный склад;2021-01-25 00:00:00.000000000;Болт М30-6gх85.8.8.ГЦ ГОСТ Р ИСО 4014-2013;953.297;940.77485788;12.52214212;2021-01-25 15:22:46.738113000
2021-01-25 15:22:46.738113024;2661;022123-1;Болт М16-6gх60.8.8.ГЦ ГОСТ Р ИСО 4014-2013;0.0;5.94183673;0.0;5.94183673;Центральный склад;2021-01-25 00:00:00.000000000;Болт М16-6gх60.8.8.ГЦ ГОСТ Р ИСО 4014-2013;3744.639;3738.69716327;5.94183673;2021-01-25 15:22:46.738113024
2021-01-25 15:22:46.738113024;2663;022127-1;Болт М24-6gх85.8.8.ГЦ ГОСТ Р ИСО 4014-2013;0.0;314.74356334;0.0;314.74356334;Центральный склад;2021-01-25 00:00:00.000000000;Болт М24-6gх85.8.8.ГЦ ГОСТ Р ИСО 4014-2013;2020.339;1705.59543666;314.74356334;2021-01-25 15:22:46.738113024
2021-01-25 15:22:46.738113024;2679;021996-1;Шайба 36 ГЦ ГОСТ 11371-78;0.0;3.22348095;0.0;3.22348095;Центральный склад;2021-01-25 00:00:00.000000000;Шайба 36 ГЦ ГОСТ 11371-78;58.085;54.86151905;3.22348095;2021-01-25 15:22:46.738113024
2021-01-25 15:22:46.738113024;2680;02412-1;Болт М16-6gх60.8.8.ГЦ ГОСТ Р ИСО 4014-2013;0.0;0.026408159999999903;0.0;0.026408159999999903;Центральный склад;2021-01-25 00:00:00.000000000;Болт М16-6gх60.8.8.ГЦ ГОСТ Р ИСО 4014-2013;3738.69716327;3738.6707551100003;0.026408159999999903;2021-01-25 15:22:46.738113024
2021-01-25 15:22:46.738113024;2705;02404-1;Болт М20-6gх60.8.8.ГЦ ГОСТ Р ИСО 4014-2013;0.0;155.71575695;0.0;155.71575695;Центральный склад;2021-01-25 00:00:00.000000000;Болт М20-6gх60.8.8.ГЦ ГОСТ Р ИСО 4014-2013;1857.64;1701.92424305;155.71575695;2021-01-25 15:22:46.738113024
2021-01-25 15:22:46.738113024;7810;022130-1;Болт М16-6gх50.8.8.ГЦ ГОСТ Р ИСО 4014-2013;0.0;15.65306122;0.0;15.65306122;Центральный склад;2021-01-25 00:00:00.000000000;Болт М16-6gх50.8.8.ГЦ ГОСТ Р ИСО 4014-2013;2598.885;2583.2319387800003;15.65306122;2021-01-25 15:22:46.738113024
2021-01-25 15:22:46.738113024;7809;02404-1;Гайка М14-6h.8.ГЦ ГОСТ ISO 4032-2014;0.0;8.869;0.0;8.869;Центральный склад;2021-01-25 00:00:00.000000000;Гайка М14-6h.8.ГЦ ГОСТ ISO 4032-2014;25.19;16.321;8.869;2021-01-25 15:22:46.738113024
2021-01-25 15:22:46.738113024;7805;02411-1;Шайба 30 ГЦ ГОСТ 11371-78;0.0;4.19670443;0.0;4.19670443;Центральный склад;2021-01-25 00:00:00.000000000;Шайба 30 ГЦ ГОСТ 11371-78;991.43;987.23329557;4.19670443;2021-01-25 15:22:46.738113024
2021-01-25 15:22:46.738113024;2721;021996-1;Болт М16-6gх50.8.8.ГЦ ГОСТ Р ИСО 4014-2013;0.0;2.31836735;0.0;2.31836735;Центральный склад;2021-01-25 00:00:00.000000000;Болт М16-6gх50.8.8.ГЦ ГОСТ Р ИСО 4014-2013;2583.2319387800003;2580.9135714300005;2.31836735;2021-01-25 15:22:46.738113024
