Дата потребности;Порядковый номер;Заказ-Партия;Номенклатура потребности;Потребность из файла;Потребность нач;Потребность кон;Списание потребности;Склад;Дата списания остат;Номенклатура Списания;Остатки нач;Остатки кон;Списание остатков;Дата учета
2020-03-09;1074;921931-3;Лист 20 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;0.0;499.04;0.0;499.04;Поступления;2020-02-18;Лист 20 ГОСТ 19903-74 09Г2С-15 ГОСТ 19281-2014;2000.0;1500.96;499.04;2020-03-09
2020-03-09;1085;921931-3;Швеллер 12 П ГОСТ 8240-89 09Г2С-12 ГОСТ 19281-2014;0.0;72.112;0.0;72.112;Центральный склад;2020-03-11;Швеллер 12 П ГОСТ 8240-89 С345-6 ГОСТ 27772-2015;873.6;801.488;72.112;2020-03-09
2020-03-09;1085;921931-3;Швеллер 12 П ГОСТ 8240-89 09Г2С-12 ГОСТ 19281-2014;0.0;0.0;0.0;0.0;Центральный склад;2020-03-11;Швеллер 12 П ГОСТ 8240-89 09Г2С-15 ГОСТ 19281-2014;748.8;748.8;0.0;2020-03-09
2020-03-09;1086;921931-3;Уголок 90х90х7 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;1888.576000000001;8366.656;1888.576000000001;6478.08;Центральный склад;2020-03-11;Уголок 90х90х7 ГОСТ 8509-86 09Г2С-15 ГОСТ 19281-2014;6478.08;0.0;6478.08;2020-03-09
2020-03-09;1086;921931-3;Уголок 90х90х7 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;0.0;1888.576000000001;0.0;1888.576000000001;Поступления;2020-02-17;Уголок 90х90х7 ГОСТ 8509-86 09Г2С-15 ГОСТ 19281-2014;20000.0;18111.424;1888.576000000001;2020-03-09
2020-03-08;1159;922022-1;Труба профильная 80х80х4 ГОСТ 30245-94 09Г2С-12 ГОСТ 19281-2014;980.082;1643.922;980.082;663.84;Центральный склад;2020-03-11;Труба профильная 80х80х4 ГОСТ 30245-94 09Г2С-15 ГОСТ 19281-2014;663.84;0.0;663.84;2020-03-08
2020-03-08;1161;922022-1;Шайба 20 Гл ГОСТ 11371-78;0.0;0.306;0.0;0.306;Центральный склад;2020-03-11;Шайба 20 Гл ГОСТ 11371-78;364.088;363.78200000000004;0.306;2020-03-08
2020-03-12;4973;02249-1;Лист 0,5 ГОСТ 19903-2015 12Х18Н10Т ГОСТ 5582-75;0.0;0.022;0.0;0.022;Центральный склад;2020-03-11;Лист 0,5 ГОСТ 19903-2015 12Х18Н10Т ГОСТ 5582-75;98.128;98.106;0.022;2020-03-12
2020-03-12;4975;02249-1;Лист 20 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;0.0;34.182;0.0;34.182;Поступления;2020-02-18;Лист 20 ГОСТ 19903-74 09Г2С-15 ГОСТ 19281-2014;1500.96;1466.778;34.182;2020-03-12
2020-03-12;4976;02249-1;Лист 25 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;0.0;194.914;0.0;194.914;Центральный склад;2020-03-11;Лист 25 ГОСТ 19903-74 09Г2С-15 ГОСТ 19281-2014;3249.9;3054.986;194.914;2020-03-12
